Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",134.500000,-48.750000,180.000000,top
"C2","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",144.140000,-32.500000,180.000000,top
"C3","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",134.500000,-50.910000,180.000000,top
"C4","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",148.350000,-47.000000,-90.000000,top
"C5","22pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",143.960000,-52.820000,90.000000,top
"C6","22pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",137.520000,-52.630000,-90.000000,top
"C7","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",131.000000,-41.750000,180.000000,top
"D1","RED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",126.740000,-32.630000,180.000000,top
"J1","Conn_01x09_Female","PinSocket_1x09_P2.54mm_Vertical",126.390000,-27.570000,90.000000,top
"J2","Conn_01x08_Female","PinSocket_1x08_P2.54mm_Vertical",153.620000,-33.345000,0.000000,top
"J3","Conn_01x12_Female","PinSocket_1x12_P2.54mm_Vertical",153.620000,-57.525000,-90.000000,top
"J4","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",124.025000,-38.845000,-90.000000,top
"R1","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",128.000000,-49.000000,-90.000000,top
"R2","1k5","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",129.920000,-33.750000,90.000000,top
"R3","22R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",130.870000,-39.620000,0.000000,top
"R4","22R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",130.870000,-37.560000,0.000000,top
"SW1","SW_Push","SW_Push_1P1T_NO_6x6mm_H9.5mm",123.750000,-49.750000,90.000000,top
"U1","ATmega32U4-A","TQFP-44_10x10mm_P0.8mm",140.000000,-40.580000,0.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",140.750000,-51.750000,180.000000,top
